               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.056391,            0.065734,            0.039769,             0.45722,             0.28642,             0.14495,            0.053675,            0.061082,            0.035031,            0.032927,           0.0072973,           0.0072973,           0.0072973
                  37,            0.052684,            0.063213,            0.038411,             0.46214,             0.29092,             0.16584,            0.073015,            0.058142,            0.034031,            0.032336,           0.0071576,           0.0071576,           0.0071576
                  38,              0.0531,            0.067155,             0.03832,             0.46465,             0.30947,             0.15903,            0.070777,            0.057672,            0.033745,            0.031762,           0.0070159,           0.0070159,           0.0070159
                  39,            0.054851,            0.055907,            0.039716,             0.52339,             0.29781,             0.18546,            0.093082,             0.05724,            0.032825,            0.031603,           0.0068722,           0.0068722,           0.0068722
                  40,            0.052707,            0.071092,            0.037483,             0.52079,              0.3338,              0.2039,            0.092089,            0.056899,             0.03289,            0.031217,           0.0067268,           0.0067268,           0.0067268
                  41,            0.052177,            0.061683,            0.036255,             0.53198,             0.31422,                0.21,             0.10241,             0.05736,            0.032607,             0.03074,           0.0065796,           0.0065796,           0.0065796
                  42,            0.052875,            0.060317,            0.039302,             0.54202,             0.33275,             0.19906,             0.08898,            0.054299,            0.032888,            0.030512,            0.006431,            0.006431,            0.006431
                  43,            0.052753,            0.065014,            0.037135,             0.47156,             0.36121,             0.20221,             0.10106,            0.058832,            0.032454,            0.031218,            0.006281,            0.006281,            0.006281
                  44,            0.049914,            0.055428,            0.035845,             0.49318,             0.37015,             0.20865,             0.10302,            0.059701,            0.032307,            0.032877,           0.0061298,           0.0061298,           0.0061298
                  45,            0.050147,             0.05935,            0.038472,             0.49157,             0.35365,             0.21186,             0.11148,            0.061972,            0.031733,            0.033555,           0.0059775,           0.0059775,           0.0059775
                  46,             0.05029,            0.063875,            0.035683,             0.48651,             0.34587,              0.2189,             0.12141,            0.061619,             0.03215,            0.034189,           0.0058244,           0.0058244,           0.0058244
                  47,             0.05246,            0.058953,            0.038404,             0.48973,             0.37636,             0.21831,             0.12256,            0.062929,            0.030881,            0.032518,           0.0056704,           0.0056704,           0.0056704
                  48,            0.050017,            0.055242,            0.035433,              0.4937,             0.36797,              0.2234,             0.11656,            0.058651,            0.031492,            0.031954,           0.0055158,           0.0055158,           0.0055158
                  49,            0.049943,            0.056235,            0.036504,             0.49991,             0.36205,             0.20563,             0.11633,            0.057635,            0.030812,            0.030791,           0.0053608,           0.0053608,           0.0053608
                  50,            0.047757,            0.057678,            0.035485,             0.49742,             0.32806,             0.21626,             0.12237,            0.056209,            0.030276,            0.029588,           0.0052055,           0.0052055,           0.0052055
                  51,            0.048774,            0.053852,            0.035009,             0.48597,             0.31322,              0.2299,             0.12544,            0.051505,            0.030027,            0.028297,             0.00505,             0.00505,             0.00505
                  52,            0.050371,             0.06707,            0.035218,             0.47355,             0.28211,             0.21607,             0.11786,            0.048366,            0.029527,            0.027424,           0.0048945,           0.0048945,           0.0048945
                  53,            0.051113,            0.056234,            0.035586,             0.40165,             0.26927,             0.22938,             0.13204,            0.047919,            0.029026,            0.027136,           0.0047392,           0.0047392,           0.0047392
                  54,            0.047322,            0.050682,            0.035317,             0.40764,             0.25505,             0.22536,             0.13414,            0.048881,            0.028884,            0.026851,           0.0045842,           0.0045842,           0.0045842
                  55,            0.047899,            0.058023,            0.032897,             0.42248,             0.29764,             0.25191,             0.15171,            0.046761,            0.029174,            0.026373,           0.0044296,           0.0044296,           0.0044296
                  56,            0.046778,            0.058667,            0.033187,             0.42116,             0.28545,             0.23889,             0.14177,            0.045672,            0.029032,            0.026047,           0.0042756,           0.0042756,           0.0042756
