               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12635,            0.031506,            0.081691,           0.0061868,             0.53428,            0.007855,           0.0028491,             0.12601,            0.017841,            0.096402,                0.01,                0.01,                0.01
                   1,             0.12426,            0.033878,            0.079952,           0.0064539,             0.54235,            0.010799,            0.003976,             0.11868,            0.020657,            0.089352,                0.01,                0.01,                0.01
                   2,             0.11846,            0.042726,            0.078527,           0.0067614,             0.59148,            0.011974,           0.0042108,             0.11321,            0.022466,            0.085733,            0.007525,            0.007525,            0.007525
                   3,             0.11397,            0.044526,            0.074437,           0.0077911,              0.7064,            0.013364,            0.005067,              0.1098,            0.023241,            0.083298,             0.00505,             0.00505,             0.00505
