               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12635,            0.031506,            0.081691,           0.0061868,             0.53428,            0.007855,           0.0028491,             0.12601,            0.017841,            0.096402,                0.01,                0.01,                0.01
                   1,             0.12426,            0.033878,            0.079952,             0.00551,             0.54882,           0.0091257,           0.0026072,             0.12156,            0.019498,            0.089772,                0.01,                0.01,                0.01
                   2,             0.11817,            0.042979,            0.078363,           0.0061709,              0.5789,            0.011336,           0.0035347,             0.11561,            0.021396,            0.085546,           0.0085502,           0.0085502,           0.0085502
                   3,             0.11336,            0.044941,            0.074173,           0.0062543,              0.6151,            0.013125,           0.0044079,             0.11213,            0.022249,            0.082822,             0.00505,             0.00505,             0.00505
